#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string
#group,false,false,true,true,false,false,true,true,true,true
#default,_result,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,status,type
,,0,2020-06-01T00:00:00Z,2020-11-27T12:00:00Z,2020-08-13T07:16:05Z,200000,duration,FDEvent,1,start
,,0,2020-06-01T00:00:00Z,2020-11-27T12:00:00Z,2020-08-13T09:14:01Z,197000,duration,FDEvent,1,start
,,0,2020-06-01T00:00:00Z,2020-11-27T12:00:00Z,2020-08-13T11:11:59Z,192000,duration,FDEvent,1,start
,,0,2020-06-01T00:00:00Z,2020-11-27T12:00:00Z,2020-08-13T13:36:56Z,147000,duration,FDEvent,1,start
,,0,2020-06-01T00:00:00Z,2020-11-27T12:00:00Z,2020-08-13T14:23:35Z,3120000,duration,FDEvent,1,start
,,0,2020-06-01T00:00:00Z,2020-11-27T12:00:00Z,2020-08-13T17:05:26Z,209000,duration,FDEvent,1,start
,,0,2020-06-01T00:00:00Z,2020-11-27T12:00:00Z,2020-08-13T19:03:20Z,204000,duration,FDEvent,1,start
,,0,2020-06-01T00:00:00Z,2020-11-27T12:00:00Z,2020-08-13T21:01:17Z,197000,duration,FDEvent,1,start
,,0,2020-06-01T00:00:00Z,2020-11-27T12:00:00Z,2020-08-13T22:59:08Z,203000,duration,FDEvent,1,start
,,0,2020-06-01T00:00:00Z,2020-11-27T12:00:00Z,2020-08-14T02:54:55Z,209000,duration,FDEvent,1,start
,,0,2020-06-01T00:00:00Z,2020-11-27T12:00:00Z,2020-08-14T04:52:44Z,214000,duration,FDEvent,1,start
,,0,2020-06-01T00:00:00Z,2020-11-27T12:00:00Z,2020-08-14T06:50:35Z,212000,duration,FDEvent,1,start
,,0,2020-06-01T00:00:00Z,2020-11-27T12:00:00Z,2020-08-14T08:48:30Z,209000,duration,FDEvent,1,start
,,0,2020-06-01T00:00:00Z,2020-11-27T12:00:00Z,2020-08-14T10:46:30Z,204000,duration,FDEvent,1,start
,,0,2020-06-01T00:00:00Z,2020-11-27T12:00:00Z,2020-08-14T12:44:26Z,202000,duration,FDEvent,1,start
,,0,2020-06-01T00:00:00Z,2020-11-27T12:00:00Z,2020-08-14T14:42:12Z,213000,duration,FDEvent,1,start
,,0,2020-06-01T00:00:00Z,2020-11-27T12:00:00Z,2020-08-14T16:40:03Z,215000,duration,FDEvent,1,start
,,0,2020-06-01T00:00:00Z,2020-11-27T12:00:00Z,2020-08-14T18:37:55Z,215000,duration,FDEvent,1,start
,,0,2020-06-01T00:00:00Z,2020-11-27T12:00:00Z,2020-08-14T20:35:48Z,212000,duration,FDEvent,1,start
,,0,2020-06-01T00:00:00Z,2020-11-27T12:00:00Z,2020-08-14T22:33:44Z,210000,duration,FDEvent,1,start
,,0,2020-06-01T00:00:00Z,2020-11-27T12:00:00Z,2020-08-15T02:29:31Z,219000,duration,FDEvent,1,start
