#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string
#group,false,false,true,true,false,false,true,true,true,true
#default,_result,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,id,object
,,0,2020-06-01T00:00:00Z,2020-11-27T12:00:00Z,2020-08-09T10:57:18Z,116,duration,sci,S1BS,Mars
,,0,2020-06-01T00:00:00Z,2020-11-27T12:00:00Z,2020-08-09T16:50:37Z,130,duration,sci,S1BS,Mars
,,0,2020-06-01T00:00:00Z,2020-11-27T12:00:00Z,2020-08-09T18:48:32Z,122,duration,sci,S1BS,Mars
,,0,2020-06-01T00:00:00Z,2020-11-27T12:00:00Z,2020-08-09T20:46:17Z,131,duration,sci,S1BS,Mars
,,0,2020-06-01T00:00:00Z,2020-11-27T12:00:00Z,2020-08-10T00:41:57Z,142,duration,sci,S1BS,Mars
,,0,2020-06-01T00:00:00Z,2020-11-27T12:00:00Z,2020-08-10T04:37:28Z,154,duration,sci,S1BS,Mars
,,0,2020-06-01T00:00:00Z,2020-11-27T12:00:00Z,2020-08-10T06:35:21Z,149,duration,sci,S1BS,Mars
,,0,2020-06-01T00:00:00Z,2020-11-27T12:00:00Z,2020-08-10T08:33:22Z,138,duration,sci,S1BS,Mars
,,0,2020-06-01T00:00:00Z,2020-11-27T12:00:00Z,2020-08-10T10:31:15Z,140,duration,sci,S1BS,Mars
,,0,2020-06-01T00:00:00Z,2020-11-27T12:00:00Z,2020-08-10T12:29:04Z,144,duration,sci,S1BS,Mars
,,0,2020-06-01T00:00:00Z,2020-11-27T12:00:00Z,2020-08-10T16:24:37Z,155,duration,sci,S1BS,Mars
,,0,2020-06-01T00:00:00Z,2020-11-27T12:00:00Z,2020-08-10T18:22:33Z,147,duration,sci,S1BS,Mars
,,0,2020-06-01T00:00:00Z,2020-11-27T12:00:00Z,2020-08-10T20:20:22Z,151,duration,sci,S1BS,Mars
,,0,2020-06-01T00:00:00Z,2020-11-27T12:00:00Z,2020-08-10T22:18:12Z,156,duration,sci,S1BS,Mars
,,0,2020-06-01T00:00:00Z,2020-11-27T12:00:00Z,2020-08-11T04:11:41Z,170,duration,sci,S1BS,Mars
,,0,2020-06-01T00:00:00Z,2020-11-27T12:00:00Z,2020-08-11T06:09:28Z,173,duration,sci,S1BS,Mars
,,0,2020-06-01T00:00:00Z,2020-11-27T12:00:00Z,2020-08-11T08:07:29Z,161,duration,sci,S1BS,Mars
,,0,2020-06-01T00:00:00Z,2020-11-27T12:00:00Z,2020-08-11T10:05:22Z,163,duration,sci,S1BS,Mars
,,0,2020-06-01T00:00:00Z,2020-11-27T12:00:00Z,2020-08-11T12:03:16Z,163,duration,sci,S1BS,Mars
,,0,2020-06-01T00:00:00Z,2020-11-27T12:00:00Z,2020-08-11T14:44:23Z,3374,duration,sci,S1BS,Mars
,,0,2020-06-01T00:00:00Z,2020-11-27T12:00:00Z,2020-08-11T17:56:43Z,173,duration,sci,S1BS,Mars
,,0,2020-06-01T00:00:00Z,2020-11-27T12:00:00Z,2020-08-11T19:54:36Z,170,duration,sci,S1BS,Mars
,,0,2020-06-01T00:00:00Z,2020-11-27T12:00:00Z,2020-08-11T21:52:27Z,172,duration,sci,S1BS,Mars
,,0,2020-06-01T00:00:00Z,2020-11-27T12:00:00Z,2020-08-12T01:48:08Z,185,duration,sci,S1BS,Mars
,,0,2020-06-01T00:00:00Z,2020-11-27T12:00:00Z,2020-08-12T05:43:47Z,187,duration,sci,S1BS,Mars
,,0,2020-06-01T00:00:00Z,2020-11-27T12:00:00Z,2020-08-12T07:41:39Z,186,duration,sci,S1BS,Mars
,,0,2020-06-01T00:00:00Z,2020-11-27T12:00:00Z,2020-08-12T09:39:39Z,179,duration,sci,S1BS,Mars
,,0,2020-06-01T00:00:00Z,2020-11-27T12:00:00Z,2020-08-12T11:37:37Z,175,duration,sci,S1BS,Mars
,,0,2020-06-01T00:00:00Z,2020-11-27T12:00:00Z,2020-08-12T13:35:23Z,186,duration,sci,S1BS,Mars
,,0,2020-06-01T00:00:00Z,2020-11-27T12:00:00Z,2020-08-12T17:31:02Z,190,duration,sci,S1BS,Mars
,,0,2020-06-01T00:00:00Z,2020-11-27T12:00:00Z,2020-08-12T19:28:55Z,187,duration,sci,S1BS,Mars
,,0,2020-06-01T00:00:00Z,2020-11-27T12:00:00Z,2020-08-12T21:26:49Z,186,duration,sci,S1BS,Mars
,,0,2020-06-01T00:00:00Z,2020-11-27T12:00:00Z,2020-08-12T23:24:42Z,189,duration,sci,S1BS,Mars
,,0,2020-06-01T00:00:00Z,2020-11-27T12:00:00Z,2020-08-13T05:18:14Z,202,duration,sci,S1BS,Mars
,,0,2020-06-01T00:00:00Z,2020-11-27T12:00:00Z,2020-08-13T07:16:05Z,200,duration,sci,S1BS,Mars
,,0,2020-06-01T00:00:00Z,2020-11-27T12:00:00Z,2020-08-13T09:14:01Z,197,duration,sci,S1BS,Mars
,,0,2020-06-01T00:00:00Z,2020-11-27T12:00:00Z,2020-08-13T11:11:59Z,192,duration,sci,S1BS,Mars
,,0,2020-06-01T00:00:00Z,2020-11-27T12:00:00Z,2020-08-13T13:36:56Z,147,duration,sci,S1BS,Mars
,,0,2020-06-01T00:00:00Z,2020-11-27T12:00:00Z,2020-08-13T14:23:35Z,3120,duration,sci,S1BS,Mars
,,0,2020-06-01T00:00:00Z,2020-11-27T12:00:00Z,2020-08-13T17:05:26Z,209,duration,sci,S1BS,Mars
,,0,2020-06-01T00:00:00Z,2020-11-27T12:00:00Z,2020-08-13T19:03:20Z,204,duration,sci,S1BS,Mars
,,0,2020-06-01T00:00:00Z,2020-11-27T12:00:00Z,2020-08-13T21:01:17Z,197,duration,sci,S1BS,Mars
,,0,2020-06-01T00:00:00Z,2020-11-27T12:00:00Z,2020-08-13T22:59:08Z,203,duration,sci,S1BS,Mars
,,0,2020-06-01T00:00:00Z,2020-11-27T12:00:00Z,2020-08-14T02:54:55Z,209,duration,sci,S1BS,Mars
,,0,2020-06-01T00:00:00Z,2020-11-27T12:00:00Z,2020-08-14T04:52:44Z,214,duration,sci,S1BS,Mars
,,0,2020-06-01T00:00:00Z,2020-11-27T12:00:00Z,2020-08-14T06:50:35Z,212,duration,sci,S1BS,Mars
,,0,2020-06-01T00:00:00Z,2020-11-27T12:00:00Z,2020-08-14T08:48:30Z,209,duration,sci,S1BS,Mars
,,0,2020-06-01T00:00:00Z,2020-11-27T12:00:00Z,2020-08-14T10:46:30Z,204,duration,sci,S1BS,Mars
,,0,2020-06-01T00:00:00Z,2020-11-27T12:00:00Z,2020-08-14T12:44:26Z,202,duration,sci,S1BS,Mars
,,0,2020-06-01T00:00:00Z,2020-11-27T12:00:00Z,2020-08-14T14:42:12Z,213,duration,sci,S1BS,Mars
,,0,2020-06-01T00:00:00Z,2020-11-27T12:00:00Z,2020-08-14T16:40:03Z,215,duration,sci,S1BS,Mars
,,0,2020-06-01T00:00:00Z,2020-11-27T12:00:00Z,2020-08-14T18:37:55Z,215,duration,sci,S1BS,Mars
,,0,2020-06-01T00:00:00Z,2020-11-27T12:00:00Z,2020-08-14T20:35:48Z,212,duration,sci,S1BS,Mars
